Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bol_60,bolin_check,high_246,new_high_check,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bol_60,pmp_bolin_check,pmp_high_246.1,pmp_new_high_check,dump_period,pmp_Change_for_std,pmp_lower_price_check,구독자_요청_종목
2024-09-02,392000,416500,392000,412000,792620,6.185567010309279,387200.0,6800.0,350175.0,3800.0,345258.3333333333,883.3333333333139,LG에너지솔루션,373220,259668.36666666667,138481.89696790546,675114.0575703831,True,345258.3333333333,19682.371907088167,404305.4490545978,True,558000.0,False,2024-10-07,2024-09-02,413500.0,426000.0,409000.0,420000.0,432535.0,4.089219330855019,501000.0,412200.0,1300.0,404500.0,400.0,365608.3333333333,1041.666666666628,305127.56666666665,139844.81285974223,724662.0052458934,False,365608.3333333333,33621.68095969633,466473.3762124223,False,501000.0,False,35,8.005162133261031,True,True
2020-01-23,464005,487230,453133,477347,443722,6.858364487027378,444338.2,9191.200000000012,426647.6,2989.5999999999767,402986.0833333333,1400.083333333314,삼성바이오로직스,207940,100895.31666666668,56847.0050971588,271436.33195814304,True,402986.0833333333,19710.36794624541,462117.1871720696,True,448686.0,True,2020-01-28,2020-01-23,471417.0,493159.0,470429.0,488218.0,323856.0,2.277378929793211,487230.0,455604.6,11266.399999999963,430452.5,3804.9000000000233,404526.1666666667,1540.083333333372,104861.75,70650.4929955966,316813.2289867898,True,404526.1666666667,22502.085595314893,472032.4234526114,True,487230.0,True,5,4.60902416447466,True,True
2020-01-28,471417,493159,470429,488218,323856,2.277378929793211,455604.6,11266.399999999963,430452.5,3804.9000000000233,404526.1666666667,1540.083333333372,삼성바이오로직스,207940,104861.75,70650.4929955966,316813.2289867898,True,404526.1666666667,22502.085595314893,472032.4234526114,True,487230.0,True,2020-02-06,2020-01-28,491677.0,516879.0,488218.0,512926.0,301786.0,5.918453739171734,494148.0,487329.0,4743.799999999988,454863.5,4941.5,415323.3333333333,1886.0,111719.01666666666,75600.58051727999,338520.75821850664,False,415323.3333333333,34534.760168882145,518927.61383997975,False,494148.0,True,9,6.732893276784983,True,True
2020-04-10,494148,595942,488712,552458,3073541,16.823429900613238,489108.0,18085.79999999999,450737.4,5065.050000000047,471738.63333333336,2050.7166666666744,삼성바이오로직스,207940,231144.46666666667,142614.97993285608,658989.4064652349,True,471738.63333333336,33772.97767543645,573057.5663596427,True,535656.0,True,2020-05-13,2020-04-10,582106.0,611755.0,581118.0,608791.0,516513.0,4.054030956873684,600884.0,582897.4,8104.0,568270.55,6794.550000000047,499312.1166666666,1416.5666666666511,371331.01666666666,423890.1949032515,1643001.601376421,False,499312.1166666666,56038.927335109605,667428.8986719954,False,600884.0,True,33,9.204953314866614,True,True
2021-05-13,834122,894408,833133,855865,610733,1.1682281656110889,822065.0,16405.800000000047,803188.55,3755.550000000047,758204.5833333334,1153.016666666721,삼성바이오로직스,207940,106138.05,107983.26268939824,430087.8380681947,True,758204.5833333334,41638.25163327982,883119.3382331729,True,872665.0,True,2021-05-14,2021-05-13,890455.0,936905.0,855864.0,936905.0,1022555.0,9.468783044054844,894408.0,850528.0,28463.0,810205.45,7016.899999999907,760872.9833333333,2668.399999999907,114820.36666666668,125794.08302830586,492202.6157515843,True,760872.9833333333,47466.73056555501,903273.1750299984,True,894408.0,True,1,5.066333359898283,False,True
2021-05-14,890455,936905,855864,936905,1022555,9.468783044054844,850528.0,28463.0,810205.45,7016.899999999907,760872.9833333333,2668.399999999907,삼성바이오로직스,207940,114820.36666666668,125794.08302830586,492202.6157515843,True,760872.9833333333,47466.73056555501,903273.1750299984,True,894408.0,True,2021-08-11,2021-05-14,945799.0,968530.0,931963.0,963589.0,280699.0,2.9566724399706383,972483.0,921487.8,14231.400000000023,898164.0,5485.050000000047,857907.35,1334.1999999999534,129071.78333333334,98643.89430692852,425003.46625411895,False,857907.35,33078.61787611548,957143.2036283464,True,972483.0,False,89,3.432855488814783,True,True
2021-08-10,909232,972483,904291,935917,529824,4.180386080444186,907256.4,7511.0,892678.95,4052.04999999993,856573.15,1202.4333333333489,삼성바이오로직스,207940,129454.93333333332,100231.61047840973,430149.7647685625,True,856573.15,30285.62917447923,947430.0375234378,True,936905.0,True,2021-08-17,2021-08-10,982366.0,1008062.0,978413.0,1000156.0,326405.0,2.950195317526081,978413.0,966356.2,20358.79999999993,911901.25,4743.800000000047,863787.7166666667,2536.6333333333023,124563.71666666666,92424.6309140759,401837.6094088944,False,863787.7166666667,42151.1290248508,990241.103741219,True,978413.0,True,7,4.214455447435279,True,True
2024-01-02,760000,800000,756000,789000,199238,3.819999933242798,744000.0,15400.0,716300.0,3200.0,719200.0,1633.333333333372,삼성바이오로직스,207940,56318.46666666667,29611.32551320552,145152.4432062832,True,719200.0,14793.917669090872,763581.7530072726,True,833000.0,False,2024-01-29,2024-01-02,800000.0,815000.0,793000.0,800000.0,194799.0,3.490000009536743,830000.0,789000.0,1400.0,769400.0,2000.0,734883.3333333334,1616.6666666667445,58163.48333333333,30760.951739445823,150446.3385516708,True,734883.3333333334,28454.110228379177,820245.6640184709,False,830000.0,False,27,3.556763778547397,True,True
2024-07-24,845000,890000,836000,883000,271622,4.127358490566038,852800.0,6400.0,811750.0,7700.0,776266.6666666666,1716.666666666628,삼성바이오로직스,207940,69600.96666666666,42221.99003677676,196266.9367769969,True,776266.6666666666,37258.49642102466,888042.1559297406,True,880000.0,True,2024-07-26,2024-07-24,873000.0,929000.0,872000.0,915000.0,249017.0,5.05166475315729,890000.0,873000.0,16000.0,828100.0,9400.0,780283.3333333334,2333.333333333372,74944.51666666666,51756.82569816121,230214.99376115028,True,780283.3333333334,42915.45629361108,909029.7022141666,True,890000.0,True,2,4.690213802580446,False,True
2024-07-26,873000,929000,872000,915000,249017,5.05166475315729,873000.0,16000.0,828100.0,9400.0,780283.3333333334,2333.333333333372,삼성바이오로직스,207940,74944.51666666666,51756.82569816121,230214.99376115028,True,780283.3333333334,42915.45629361108,909029.7022141666,True,890000.0,True,2024-07-29,2024-07-26,919000.0,950000.0,915000.0,940000.0,145349.0,2.73224043715847,929000.0,891400.0,18400.0,837150.0,9050.0,782933.3333333334,2650.0,78208.16666666667,56260.609987263786,246989.99662845803,False,782933.3333333334,47538.00818526348,925547.3578891236,True,929000.0,True,3,5.057234913325901,True,True
